CLUSTER_REP,SUBCLUSTER_REP,SUBCLUSTER_MEMBERS
6iftA,6ifsB,"['6ifsA', '6iftA', '6ifwA']"
4rybA,4rybB,"['4rybA']"
5a7dR,5a7dR,"[]"
5o5xA,5o5xB,"['5o5zA', '5o5xA', '5o5yA', '5o5yB', '5o5zB']"
1sj2A,4c50A,"['2ccaA', '2ccaB', '2ccdA', '1sj2A', '1sj2B', '4c51B', '4c51A', '2ccdB', '4c50B']"
6fslA,6fslA,"['6fskA', '6fslB', '6fskB']"
1e5lA,1ff9A,"['1e5lA', '1e5qH', '1e5qC', '1e5qD', '1e5qG', '1e5qF', '1e5qB', '1e5lB', '1e5qE', '1e5qA']"
3dnsA,3dnsA,"['3dnsB']"
1rpnC,1rpnB,"['1rpnC', '1rpnA', '1rpnD']"
5o6cA,5o6cA,"['6t7fA']"
5bunC,5bunC,"['5bunA', '5bunB']"
4aybC,2wb1Y,"['2y0sC', '2y0sY', '4aybC', '2wb1C', '2waqC']"
6innA,6innC,"['6innD', '6innB', '6innA']"
2e5aA,2e5aA,"['3a7uA']"
3si1A,3si2A,"['3si1A']"
7al6A,7al6A,"['7al6D', '7al6B', '7al6C']"
4oesA,4oerB,"['4oerA']"
4oesA,4oesA,"[]"
5hbtC,5hbvC,"['5hbtC']"
6g1zB,6g1yA,"['6g1zA', '6g1zB', '6g1yB', '6g20A', '6g20B']"
4dvbA,4dvbA,"['4dw2H', '4dvbH']"
1vrgA,1vrgB,"['1vrgC', '1vrgF', '1vrgE', '1vrgD', '1vrgA']"
2bpsA,2bpsA,"['2bpsB']"
5jdaA,5jd9A,"['5jdaA']"
2rfgB,2rfgD,"['2rfgB', '2rfgA', '2rfgC']"
5olwA,6h8xB,"['6hdiB', '6qzgA', '2wf8A', '6hdiA', '6h8uA', '5olyA', '1zolA', '6hdhA', '6hdhB', '6h8vB', '6h92B', '5ok2A', '4c4tA', '2wfaA', '2wf9A', '5ok0A', '5ojzA', '6h8wA', '5olxA', '6ydmB', '6h8vA', '5olwB', '6i03A', '5o6rA', '6h94A', '1lvhB', '6ydlA', '6h8zA', '6hdkA', '6h92A', '1o08A', '3zi4A', '6h8yA', '1z4oA', '6h8xA', '1lvhA', '6hdlA', '4c4rA', '2wf6A', '1z4nB', '5olyG', '2wheA', '6h93A', '6ydmA', '6ydjA', '6h93B', '5olwA', '6h91B', '6hdfB', '6hdfA', '6h91A', '6qzgB', '6hdgA', '1z4nA', '5o6pA', '6hdjA', '3fm9A', '1o03A', '6hdmA', '1z4oB', '2wf5A', '6h90A', '5ok1A', '2wf7A', '6ydkA', '4c4sA']"
4apqD,3scmD,"['3sddD', '3qi9D', '4apqD', '3sdaD', '3sdcD']"
1elkA,1elkA,"['1elkB']"
1pcvA,1pcvA,"['1pcvB']"
5x51E,5x4zQ,"['5x50E', '5x51E', '5x51Q', '5xogE', '5x4zE']"
2ixtB,2ixtA,"['1ea7A', '2ixtB', '3d43A', '3d43B']"
3ba3B,3ba3B,"['3ba3A']"
4dp1X,4dp6X,"['4dp0X', '4dp4X', '4dp5X', '4dp1X', '4dp2X']"
4yn3A,4yn3A,"['3vtaB', '3vtaA']"
2j8iB,2j8iB,"[]"
3oaaH,3oaaH,"['3oaaP', '3oaaX', '3oaaf']"
3oaaH,1aqtA,"['1qo1J']"
3oaaH,1fs0E,"[]"
5ujuA,5ujuB,"['5ujuA']"
3unhH,3unhV,"['3unfV', '3unfH', '3unhH']"
4mobA,4mobA,"[]"
2ch1A,2ch2C,"['2ch2B', '2ch1A', '2ch1B', '2ch1C', '2ch2D', '2ch1D', '2ch2A']"
5by7A,5by7A,"[]"
3ezsA,3ezsA,"['3ezsB']"
3hi2B,3hi2B,"['3hi2D']"
1kqxA,1kqxA,"['1kqwA']"
5yu7A,5yu7A,"[]"
3v9hA,4oe5B,"['3v9hC', '3v9hA', '3v9hB', '3v9gC', '3v9hD', '3v9gD', '4oe5D', '4oe5A', '3v9gB', '4oe5C', '3v9gA']"
2y4uA,2y4tA,"['2y4uA', '2y4tC', '2y4tB']"
1cuoA,1uatA,"['1cuoA']"
1nlzA,1nlyA,"['2pt7A', '1nlyB', '2pt7F', '6bgeA', '1nlzD', '1g6oA', '1opxB', '1nlzB', '2pt7B', '2pt7C', '1nlzA', '1nlzF', '1opxA', '6bgeB', '1nlzE', '1g6oB', '2pt7E', '2pt7D']"
1fk8A,1fk8A,"['1fjhB', '1fjhA', '1fk8B']"
3i64A,3i53A,"['3i58B', '3i64B', '3i5uB', '3i58A', '3i53B', '3i5uA', '3i64A']"
1t4dA,1t4dC,"['1t4dA', '1gl3A', '1brmC', '1gl3B', '1t4bB', '1brmB', '1t4bA', '1t4dB', '1brmA']"
3co5A,3co5A,"['3co5B']"
6byaB,6byaB,"[]"
4hoiB,4hoiB,"['4hoiA', '4hoiD', '4hoiC']"
1nqlB,1nqlB,"['3njpD', '3njpC']"
5vglA,5vglA,"['5vgsA']"
1w6uA,1w6uB,"['1w6uC', '1w8dD', '1w73D', '1w8dB', '1w8dC', '1w6uA', '1w73A', '1w73C', '1w6uD', '1w8dA', '1w73B']"
6ne4A,6ne2A,"['6ne4A']"
5kr7A,4xdpA,"['4xdoA', '5fjkA', '2xmlB', '5kr7A', '5kr7B', '5fjhB', '4xdpB', '4xdoB', '5fjhA', '2xmlA']"
1wy7D,1wy7A,"['1wy7B', '1wy7C', '1wy7D']"
1z1wA,3q7jA,"['3q7jB', '1z5hB', '1z5hA', '1z1wA']"
5t48A,4ueaA,"['4ueaE', '5t47A', '4ue9A', '5t48A', '4uecA', '5abvE', '4ueaC', '5abvC', '4uecC', '5abuA', '5abvA', '5t47C', '5abvG', '4uebC']"
2aq5A,2b4eA,"['2aq5A']"
3im3A,5hvzA,"['5hvzB', '3im3A', '3im4B', '3im4A']"
2b3jC,2b3jD,"['2b3jB', '2b3jC', '2b3jA']"
5fq0A,5fq0D,"['5fq0C', '5fq0B', '5fq0A']"
5yjhA,5yjhA,"['5yjgA']"
2cdqA,2cdqA,"['2cdqB']"
3oc7A,3oc7A,"[]"
5ggvH,5wi9F,"['5wi9H', '5ggvH']"
4it7A,4it7B,"['4it7A', '4it7D', '4it7C']"
5k7xA,5k7xC,"['5k7xF', '2d7uA', '5k7xD', '5k7xA', '5k7xE', '5k7xB']"
3f7rA,3f7qB,"['3f7qA']"
5wb2B,5wb2B,"['1f2lD']"
1a0rG,6b20D,"['1a0rG', '6b20C']"
3i2tA,3i2tA,"[]"
6n2oA,6n2oC,"['6n2oA', '6n2nA', '6n2nC']"
5a01A,5a01A,"['5a01B', '5a01C']"
3b0aE,3b08E,"['3b08K', '3b08H', '3b08B', '3b0aE']"
6kfrA,6kfrA,"['6kfrB', '6kfmA', '6kfmB']"
6czhB,6czhB,"['6czhA']"
1rtgA,1genA,"['1rtgA']"
4u94A,4u94A,"['4wzyA', '4u98A']"
4kzzX,4kzxX,"['4kzzX', '4kzyX']"
2amuA,2amuA,"['3qzbA']"
4l0oK,4l0oM,"['4l0oG', '4l0oA', '4l0oH', '4l0oK', '4l0oO', '4l0oE', '4l0oC']"
2ph3A,2ph3A,"['2ph3B']"
4d18B,4d18J,"['4d10J', '4d10B', '4d18B']"
2fe7B,2fe7B,"['2fe7A']"
6ixyB,6ixyB,"['6ixyD', '6ixyC', '6ixyA']"
6ixyB,5xccB,"['5xccA']"
2z2oC,2z2pA,"['2z2pB', '2z2oA', '2z2nA', '2z2oB', '2z2oC', '2z2oD']"
6fmeA,5manB,"['5mb2B', '1r7aA', '2gduA', '2gdvA', '6fmeA', '2gdvB', '5c8bB', '6fmeB', '1r7aB', '5m9xB', '2gduB']"
5ihrA,5mgcA,"['5mgdA', '5ihrA', '5iftA', '5juvA', '5ifpA']"
1uwcA,1uzaA,"['1uzaB', '2hl6A', '2bjhA', '1uwcA', '2bjhC', '2bjhB', '1uwcB', '2ix9A', '2hl6B', '1uswA', '2ix9B']"
4ru1A,4ru1F,"['4ru1H', '4ru1E', '4ru1A', '4ru1K', '4ru1L', '4ru1I', '4ru1B', '4ru1J', '4ru1G', '4ru1C', '4ru1D']"
1zkeD,1zkeD,"['1zkeA', '1zkeC', '1zkeB', '1zkeF', '1zkeE']"
5zkuF,5zkuA,"['5zkuE', '5zkuD', '5zkuF', '5zl5F', '5zl5D', '5zlaB', '5zkwC', '5zl5A', '5zkwE', '5zkuB', '5zkwA', '5zlaE', '5zlaD', '5zkwB', '5zkwF', '5zksA', '5zl5C', '5zlaA', '5zlaC', '5zl5E', '5zl5B', '5zkuC', '5zlaF', '5zkwD']"
6cyrA,6cyoA,"['2ybfA', '2yb6A', '6cyrA']"
3atyA,4e2bA,"['3atzD', '3atyA', '4e2dD', '3atzB', '3atzA', '3atyB', '4e2dA', '4e2dC', '4e2dB', '3atzC']"
1xreA,1xreB,"['1xreA']"
1uzrB,1uzrB,"['1uzrA', '1uzrC']"
5fujA,5fukA,"['5fukB', '5fujB', '5fujA']"
2xqoA,6g1gA,"['6g1iB', '6g1iA']"
1wpmB,2iw4B,"['1wpmB', '2iw4A', '1wpmA', '2hawA', '2hawB']"
1wpmB,1k23C,"['1k23A', '1k23B']"
3wbzE,3wc0A,"['3wbzC', '3wbzA', '3wc0B', '3wc0H', '3wc0G', '3wc0O', '3wbzE', '3wc0C', '3wbzD', '3wc0K', '3wc0J', '3wc0N', '3wbzF', '3wbzH', '3wc0M', '3wc0D']"
2vf1A,2vf1B,"['2vf1A']"
2jfuA,2jfuA,"['2jfvA', '2jfwA']"
1ss4A,1ss4A,"['1ss4B']"
1mbmA,1mbmD,"['1mbmA', '1mbmC', '1mbmB']"
5ls2B,5ls2B,"['5ls2A']"
4jm4H,4nzrH,"['4jm2A', '4jm4H']"
4grlA,4grlA,"['4mayA']"
4r71B,4r71D,"['4q7jC', '4q7jG', '3mmpF', '3mmpG', '4r71B']"
1emsA,1emsA,"['1emsB']"
3p5cA,4ne9A,"['3sqoA', '2pmwB', '3p5bA', '3p5cA', '5ocaB', '4ne9B']"
5graA,5graA,"[]"
5graA,5graB,"[]"
5xz3A,5xz3A,"['5xz3D', '5xz3C', '5xz3B']"
3s0eA,3s0fA,"['3s0aA', '3rzsA', '3s0bA', '3s0dA', '3s0gB', '3s0eA', '3s0fB', '3s0gA']"
2hc1A,2hc1A,"['2hc2A', '2h02B', '2ahsA', '2ahsB', '2i3rA', '2i4gA', '2h03A']"
1cb5A,1cb5C,"['2cb5A', '1cb5B', '2cb5B', '1cb5A']"
2nptC,2nptA,"['2nptC']"
6mb6A,6mb6A,"['6mb9D', '6mb9B', '6mb4A', '6mb4B', '6mb5A', '6mb8A', '6mb7A', '6mb4C', '6mb9A', '6mb6C', '6mb6D', '6mb8B', '6mb9C', '6mb6B', '6mb4D']"
6ucaD,6ucaA,"['6ucaE', '6ucaF', '6ucaD']"
4fo8C,4juqA,"['4fo7D', '4juqB', '4fo8D', '4fo8C', '4juqC', '4fo7C', '4juqD', '4fo8A', '4fo7A']"
4fo8C,4fo8B,"['4fo7B']"
6lyiB,6lyiB,"[]"
3tqgB,3tqgA,"['3tqgB']"
6csfM,6csfC,"['6csfM', '6cseC', '6cseM']"
5xflC,5xflD,"['5xflC', '5xflB', '5xflA']"
2ci9A,2ci9B,"['2ci9A']"
2ci9A,2ci8A,"[]"
4gx5B,4gx5B,"['4gx2C', '4gx5C', '4gx0C', '4gx1B', '4gx0B', '4gx2B', '4gx1C']"
6r1mB,6r1oA,"['6r1mA', '6r1mB']"
5uswA,5uswD,"['5uswA', '5uswB', '5uswC']"
3psqA,3psqA,"[]"
1sowB,1sovA,"['1sowB', '3czmA', '3czmB', '1sowA', '1sovB']"
2i82A,2i82C,"['2i82D', '2i82A', '2i82B']"
5v46A,5v46B,"['5v45A', '5v46A', '5v44C', '5v45B', '5v44B']"
1e9zB,1e9yB,"['1e9zB']"
4b9gA,4b9gB,"['4b9gA']"
4psfA,4psfB,"['4psiA', '4psfA']"
1t5lA,6o8gB,"['1t5lA', '6o8gA', '6o8fA', '6o8gC', '1t5lB', '6o8hA', '6o8fB', '6o8eA', '6o8eB']"
3ow2T,3g6eU,"['3ow2T', '3g71U', '3g4sU']"
5y97B,4hr6B,"['5y42B', '5y42E', '5y97B']"
1nvgA,3i4cD,"['1ntoH', '3i4cC', '3i4cH', '1ntoE', '1ntoA', '3i4cE', '1ntoC', '1nvgA', '1jvbA', '3i4cA', '1ntoB', '1ntoD', '1r37B', '1r37A']"
6vc0A,6vc0A,"['6vc0B', '6vc0C']"
2w29A,2vbxB,"['2vbwA', '2vbwB', '2ivmA', '2vbzB', '2w29A', '2vbzA', '2vbxA', '2w25A', '2vc0B', '2w24A', '2vc1B', '2w24B', '2w29B', '2qz8D', '2vc1A', '2vc0A', '2qz8A', '2qz8C', '2w29C', '2vbyB', '2w29D', '2w25B', '2qz8B', '2ivmB', '2vbyA']"
3nufA,3nufB,"['3nufA']"
5eccA,5eccA,"['5ecxA', '5eccB', '5ecxB']"
3hrwB,3hrwB,"['3hrwD', '1jebB', '1jebD']"
6suaA,6suaA,"['6suaC']"
5bopA,5bopA,"['5bopC']"
5w6pF,5w6pC,"['5w6pF', '5w6pD', '5w6sA', '5w6pE', '5w6pA', '5w6pB']"
1qxxA,1ihrB,"['1qxxA', '1ihrA']"
4ylfA,4ylfA,"['4yryA', '4ylfC', '4yryC']"
2f2aA,2g5hA,"['2g5iA', '2dqnA', '3ip4A', '2f2aA', '2df4A']"
5ejrA,5ejsA,"['5ejsB', '5ejrA']"
6h3oF,6h3gE,"['6h3oC', '6h3gD', '6h3oF', '6h3oE', '6h3gB', '6h3oB', '6h3gF', '6h3gC', '6h3gG', '6h3oH', '6h3oA', '6h3oD', '6h3oG', '6h3gA', '6h3gH']"
6k1fA,6k1fB,"['6k1gE', '6k1fD', '6k1gD', '6k1gA', '6k1fA', '6k1fF', '6k1gC', '6k1gB', '6k1fC', '6k1fE', '6k1gF']"
5d6cH,5d6cH,"['5d6cB']"
3qxbA,3qxbA,"['3qxbC', '3qxbB', '3qxbD']"
1indH,1ineH,"['1indH']"
4edhB,4edhB,"['4edhA', '4e5uB', '4gmdC', '4gmdD', '3uxmD', '3uxmB', '4e5uA', '3uxmC', '4gmdA', '4gmdB', '3uxmA', '4eshA']"
6heiA,6heiA,"[]"
4n4xA,4n4xA,"['4kegA']"
4tm5A,4m0jA,"['4tm5A', '4m0jB']"
5jg6D,4r2yA,"['4r2yD', '4r2yC']"
5jg6D,5jg6D,"[]"
1jl3A,1jl3B,"['1jl3A']"
4wh7A,2a2kA,"['1ymdA', '1cwtA', '1ym9A', '1ymkA', '2ifdA', '2ifvA', '4wh9A', '4wh7A', '1ymlA', '1ys0A']"
4pdvB,3t1cB,"['4pdlB', '3tcuB', '3t1cA', '3e8gB', '3t2mB', '4pdrB', '3e8bB', '3e8bA', '3e83A', '3e8fB', '3t2mA', '3e86B', '4pdmB', '3e83B', '4pdmA', '4pdvA', '4pdlA', '3t4zA', '3e8fA', '6dz1A', '3oufB', '3e89B', '3t4zB', '3t4dB', '3e8hA', '3e86A', '3tcuA', '3e89A', '3e8hB', '4pdrA', '6dz1B', '4pdvB', '3oufA', '3tetB', '3tetA', '3e8gA', '3t4dA']"
6uxjB,6uxjA,"['6uxlA', '6uxkB', '6uxlB', '6uxjD', '6uxiB', '6uxjC', '6uxhB', '6uxiA', '6uxhA', '6uxkA', '6uxjB']"
2ewcB,2ewcG,"['2ewcI', '2ewcE', '2ewcA', '2ewcC', '2ewcH', '2ewcK', '2ewcB', '2ewcD', '2ewcF', '2ewcL', '2ewcJ']"
3d2lC,3d2lB,"['3d2lA', '3d2lD', '3d2lC']"
2wvkA,2wvmA,"['2wvkB', '2wvkA', '2wvmB', '2wvlA', '2wvlB']"
4tzhA,4tzhB,"['4tzhA']"
2i9lB,2i9lH,"['2i9lF', '2i9lD', '2i9lB']"
3iclA,3iclB,"[]"
3iclA,3iclA,"[]"
1wd7B,1wcwA,"['1wcxA']"
1wd7B,1wd7B,"['1wd7A']"
2g6gA,2g6gA,"['2g5dA']"
3uj7A,3uj9A,"['3ujbA', '4fgzB', '3ujbB', '4r6wA', '4fgzA', '3ujaA', '3uj6A', '3ujcA', '3uj7B', '3uj8A', '3ujdA', '4r6wB', '3uj7A', '4r6xA', '4r6xB']"
1b02A,1bkpB,"['1bsfA', '1bsfB', '1bspB', '1b02A', '1bkoB', '1bkpA', '1bspA', '1bkoC', '1bkoD', '1bkoA']"
3pp4H,3pp3H,"['3pp4H', '3pp3I']"
6t1uA,6t1tA,"['6t1uA', '6t1uB', '6t1tB']"
1eayD,1eayC,"['1eayD']"
3iruA,3iruA,"['3iruB']"
3oajA,3oajB,"['3oajA']"
1jadA,1jadB,"['1jadA']"
6nrpA,6nrpA,"['6nrpB']"
3lmwA,3lmwB,"['1h80A', '1ktwA', '3lmwA', '1ktwB']"
4avaA,4avcB,"['4avbA', '4avbB', '4avcA']"
4avaA,4avaA,"[]"
2rhqB,2rhsD,"['2rhqB', '2rhsB']"
7aniB,7anjA,"['7aniB']"
6qmrA,4d9rB,"['1dicA', '5tcaB', '2xw9A', '5tccG', '5mt0A', '2xwbI', '6futA', '4d9qB', '5nb7A', '5nb6A', '6fujE', '6fujB', '4d9rA', '4cbnB', '5tcaD', '5fbeA', '5tccE', '1hfdA', '4cboA', '5tccA', '1dfpB', '5tccB', '6qmrB', '4cboB', '5tccC', '6qmtA', '6fujD', '5mt4A', '4cbnA', '5nawA', '1bioA', '1dstA', '6fuiA', '6fujC', '6qmrA', '5tcaC', '5fbiA', '6fugC', '5tccD', '6fugB', '5tcaE', '1dsuA', '6ftyA', '5tcaA', '5natA', '5tcaF', '6fugE', '2xwaB', '5tcaG', '6fugF', '1dsuB', '6ftzA', '5fckA', '6fujF', '6qmrC', '6fujA', '6fugA', '5tccF', '6qmrE', '6qmrD', '1dfpA', '5narA', '5nbaA', '2xwaA', '6fugD', '2xwbJ', '6fuhA', '4d9qA']"
6qmrA,1fdpA,"[]"
2gmfA,5c7xB,"['1csgA', '5d70A', '2gmfA', '1csgB', '5c7xA', '2gmfB']"
5dk4A,1mb2F,"['1d2rA', '1mb2B', '1mawF', '3fi0G', '1mb2A', '5dk4A', '1m83A', '3fi0N', '3fi0D', '3fi0M', '1mawD', '3fi0F', '1mb2D', '1d2rB', '1mb2E', '3fi0C', '3fi0Q', '1i6lA', '1mawB', '1mauA', '2ov4A', '1i6mA', '3fi0A', '1d2rE', '1mawE', '3fi0P', '1d2rD', '1i6kA', '3fhjF', '3fi0J', '3fi0I', '1mawA', '3fi0L', '1d2rF', '3fhjA', '1mb2C', '3fi0K', '1d2rC', '3fi0O', '1mawC', '3fi0H', '3fi0B']"
1rziF,1rziB,"['1rziF', '1rziN', '1rziH', '1rziP', '1rziD', '1rziJ', '1rziL']"
6ixxA,6ixxA,"['3u1rA']"
3u7rA,3u7rA,"['3u7rB']"
6aw6A,6aw8A,"['6aw9A', '6aw9B', '6aw7A', '6aw8B', '6aw7B']"
6aw6A,6aw8C,"['6aw5A', '6aw4A', '6aw6A', '6aw9C']"
6tpnA,6tpnA,"['5ws3A']"
3rkuA,3rkuA,"['3rkuC', '3rkuB', '3rkuD']"
3v2uC,3v5rA,"['3v5rB']"
3v2uC,3v2uD,"['3v2uC']"
1telB,1ykwB,"['1ykwA', '1telA', '1telB']"
5gn0A,6l9fA,"['6gekA', '6gecA', '5xjdA', '5gn0C', '5gn0B', '5z2qB', '5gn0A', '6hikA', '6ge6A', '6gegA', '3juaA', '6ge4A', '5oaqA', '3juaC', '6ge5A', '6q36A', '3juaE', '5z2qA', '6l9fB', '6geeA', '6ge3A', '4ln0A', '6geiA', '5xjdB', '6gekB', '6q2xA', '5gn0D', '6q36B']"
3wywB,3wywB,"['3wywA']"
6s04B,6rzdB,"['6s0eB', '6s00B', '6s0eA', '6s0fB', '6s00A', '6rzdA', '6s0fA']"
6a5hA,6a5hA,"['6a5hB']"
5d0uA,5ltjA,"['6qieA', '5ltkA', '6qidA']"
5d0uA,5d0uA,"['5ltaA']"
2hd9A,1wmmA,"['2zbnA', '2hd9A']"
5ufaA,5tr9B,"['5tr9A', '5ufaA', '5ufaB', '5ufaC']"
4jvpA,4jvpA,"[]"
1f74A,1f73C,"['1f6kC', '1f5zC', '1f6pD', '1f73B', '1f7bC', '1f73A', '1f5zA', '1f7bA', '1f6pC', '1f74A', '1f5zB', '1f6kA', '1f6pA', '1f5zD', '1f6pB', '1f74C', '1f73D']"
6iscB,3udwC,"['6iscB', '3udwD']"
1hrbA,1hrbA,"['1hrbB']"
6yunB,6yunB,"[]"
5g3qA,5g3qA,"[]"
6bus3,6bus3,"[]"
6ewbG,6ewbJ,"['6ewbG', '6ewbE', '6ewbH']"
5nrrB,5nrrB,"['5nrrA']"
4kf4A,4kf4E,"['4kf4A', '4kf4G', '4kf4D', '4kf4H', '4kf4F', '4kf4B', '4kf4C']"
1mhyB,1mhyB,"['1mhzB']"
6dgiA,6dgiB,"['6dgiA']"
1cs1A,1cs1B,"['1cs1A', '1cs1C', '1cs1D']"
2y7pA,2y7kA,"['2y7rA', '2y84D', '2y7kC', '2y7rH', '2y7rF', '2y84A', '2y7pA', '2y7kB', '2y7wA', '2y7rG', '2y7rB', '2y7rC', '2y84B', '2y7rD', '2y84G', '2y7wB', '2y84E', '2y84C', '2y7wD', '2y7rE', '2y7kD', '2y84H', '2y7wC', '2y84F']"
3q58A,3q58A,"['3q58B']"
5myaA,5utkA,"['5utkB']"
1li1F,1m3dI,"['5naxE', '1t60U', '1m3dF', '1t60X', '5naxC', '1li1F', '1t60C', '1t60F', '1t60L', '1m3dL', '1t61C', '1t60O', '1li1C', '1t60I', '1t60R', '1t61F', '1m3dC']"
2h1tA,2h1tA,"['2h1tB']"
3vkhA,3vkhA,"[]"
3vkhA,3vkgA,"[]"
2cz5A,2czfA,"['2czfB', '2czdB', '2czdA', '2cz5B', '2czeA', '2cz5A', '2czeB']"
6vd8A,6vd8B,"['6vd8A']"
1ynzA,1ynzA,"['1zx6A']"
1g0vB,1g0vB,"[]"
5k9qI,5k9qL,"['5k9qK', '5k9qT', '5k9qI', '5k9qV', '5k9qY']"
6i97D,6i97E,"['6i97D']"
2ynoA,2ynnA,"['4j78A', '4j82B', '2ynoA', '4j79A', '4j86A', '4j77B', '4j84A', '4j81A', '4j82A', '4j86B', '4j84B', '4j73A', '4j77A', '4j81B', '2ynoB']"
4bqnA,4bqoB,"['4bqnA', '4bqoA', '4bqnB']"
2nckR,2nckR,"['1nlkL', '1nhkL', '1nlkR', '2nckL', '1nhkR']"
5np4A,5no0A,"['5nsaA', '5np4A', '5nrpA']"
1b8gB,1b8gB,"['1b8gA', '1m7yA', '1m4nA', '3piuA']"
3o61D,3o6zB,"['3o61D', '3o61B', '3o61A', '3o52E', '3o52D', '3o61C', '3o6zA', '3o69B', '3o52B', '3o52C', '3o52A', '3o69A']"
6ttyI,3v5iD,"['6ttzF', '5c90J', '5dl1F', '4empK', '6n80M', '3qwdA', '5dl1J', '3staM', '4empM', '3v5eM', '3qwdE', '3v5iV', '5c90D', '3qwdH', '3staA', '3v5iW', '3v5iA', '3v5eN', '3v5iX', '3staS', '3v5iF', '4empF', '5dl1M', '5dl1E', '5dl1H', '3v5iL', '4empG', '3v5iC', '6ttzG', '3v5eB', '5dl1B', '5c90G', '4empV', '5dl1C', '4empL', '6ttzC', '5c90B', '3staK', '4empI', '3v5eF', '3v5iR', '3qwdG', '5c90A', '6ttyA', '3qwdC', '3qwdB', '3v5iM', '3v5iY', '5c90N', '3v5iK', '5dl1I', '3staN', '6ttyB', '6ttyG', '3v5iT', '5c90L', '6ttyI', '3v5eJ', '3v5ib', '3v5iP', '5dl1N', '4empB', '3v5iN', '6ttzD', '3staT', '3v5iJ', '3v5iB', '3staC', '4empN', '3staL', '3staG', '5c90H', '3v5iU', '5dl1L', '3staV', '6ttzE', '6ttyN', '5c90C', '5c90K', '3v5iI', '3v5eA', '4empE', '6ttyK', '5c90F', '5dl1G', '6ttyM', '6ttyE', '3v5iH', '3v5eK', '5c90M', '6pmdA', '3qwdJ', '3v5ia', '4empC', '3v5eG', '3v5iE', '5dl1K', '5c90E', '6pmdK', '3qwdM', '3staB', '3qwdN', '6ttzB', '3v5iG', '5dl1D', '3staE', '5c90I', '4empA', '5dl1A', '3v5iQ', '6ttyJ', '4empT', '3v5eL', '6n80L', '3v5iZ', '3v5eH', '3v5iO', '3staI', '6ttyD', '3v5eC', '3v5eE', '3v5eI', '6ttzA', '6pmdI', '6n80C', '4empS', '3staF', '3v5eD', '6n80D', '3v5iS', '3qwdI']"
6ttyI,6ttyC,"['6ttyF', '6ttyL']"
5jjiC,6wa8A,"['6wa8D', '6duqH', '6duqC', '3iceB', '1xpuB', '1xpuF', '1xprF', '1xprA', '1pv4D', '1xpoE', '5jjlD', '3iceA', '1xpoF', '1pvoD', '6wa8B', '3iceD', '5jjiD', '1xprD', '5jjlF', '6duqE', '5jjiE', '1xpuE', '1xprB', '1xpuA', '1xpoC', '6duqA', '1pvoC', '6wa8C', '5jjlB', '5jjkB', '1pv4C', '1pvoA', '1pv4E', '5jjiF', '5jjkA', '1pvoE', '1xpoA', '6duqB', '6duqG', '1xpuD', '5jjiA', '6duqJ', '6wa8F', '5jjlE', '5jjlC', '1pvoF', '6duqK', '5jjiB', '5jjkF', '1xprC', '6wa8E', '3iceE', '1xpuC', '3iceC', '6duqL', '6duqI', '1xprE', '5jjkD', '5jjlA', '1pv4A', '1xpoD', '6duqD', '6duqF', '3iceF', '5jjkC', '5jjiC', '1xpoB', '1pv4F']"
2qyuA,2qzaB,"['2qzaA']"
2qyuA,3sy2A,"['3sy2B']"
2qyuA,2qyuA,"[]"
5d60B,5d60A,"['5d60D', '5d60C', '5d60B']"
4yzfF,4u1gC,"['4yzfL', '5a16F', '5a16H', '1nsnL', '4yzfF', '5a16B', '4u1gF', '5a16D', '4yzfH', '4yzfJ']"
5tuvB,5tuvE,"['5tuvB']"
6pbzA,6pbzC,"['6pbzD', '6pbzA', '6pbzB']"
1fcdA,1fcdB,"['1fcdA']"
3qyjA,3qyjB,"['3qyjA']"
4wb0A,4wb0A,"['4wb0B']"
4b4uB,4b4wA,"['4b4vB', '4b4vA', '4b4uB', '4b4wB', '4b4uA']"
6s6qA,6s6qA,"['6s6qB']"
6g42C,6g42D,"['6g41F', '6g42A', '6g41C', '6g41A', '6g42C', '6g41J', '6g41E', '6g41H', '6g41G', '6g41B', '6g41I', '6g42B', '6g42E', '6g41D']"
2i6eA,2i6eH,"['2i6eD', '2i6eA', '2i6eG', '2i6eC', '2i6eE', '2i6eB', '2i6eF']"
5hnvA,5x1tA,"['5x1qA', '5x1sA', '5hnvA', '5x1rA']"
5ch6A,5ch6C,"['5ch6B', '5ch6A']"
1wxiA,1wxgA,"['1wxhA', '1wxeA', '1wxfA', '1wxiA']"
1gz3A,1efkC,"['1do8A', '1pj2D', '1gz3A', '1eflA', '1eflD', '1pjlG', '1pj2A', '1pj4A', '1do8B', '1pj3A', '1pj2C', '1pj4D', '1pjlD', '1pjlH', '1eflB', '1qr6B', '1gz4A', '1efkD', '1pjlA', '1pj3C', '1pj4B', '1pjlF', '1gz4D', '1pjlE', '1gz3B', '1efkB', '1efkA', '1pj2B', '1gz4C', '1pjlB', '1pjlC', '1do8C', '1pj3D', '1pj3B', '1eflC', '1do8D', '1gz3D', '1pj4C', '1qr6A', '1gz3C', '1gz4B']"
3ez6B,3ez2A,"['3ez2B', '3ez6B', '3ez6A']"
3ez6B,3ez7A,"[]"
2x82A,2wlvB,"['2x82B', '2x82A', '2x82C', '2wlvA', '2x82D']"
